GENE,EXPRESSION
YLR209C,-0.187
YFL005W,0.068
YEL026W,-0.185
YML010W,0.153
YDL047W,0.044
YKL125W,0.480
YBL089W,-0.124
YJL073W,0.020
YGR016W,0.077
YJL146W,0.158
YJL219W,0.298
YNR021W,-0.096
YER058W,-0.234
YMR042W,0.130
YMR115W,0.266
YDR079W,0.025
YLR063W,-0.157
YML011C,-0.104
YPL245W,-0.389
YLL032C,0.038
YNL287W,-0.113
YJL074C,0.299
YJL147C,0.200
YNR022C,-0.039
YMR116C,-0.278
YPL246C,-0.093
YOR298W,-0.154
YKR085C,0.010
YFL006W,-0.029
YCL069W,-0.093
YKL053W,-0.016
YKL126W,-0.121
YDR290W,-0.048
YGR017W,0.029
YOR001W,0.164
YDR363W,0.091
YFR038W,0.278
YDR436W,0.081
YIL095W,0.088
YDR509W,0.340
YIL168W,-0.584
YLR420W,-0.128
YER059W,0.045
YMR043W,-0.183
YPL173W,0.150
